15009,8191,,
15032,8191,,
15056,1534,,
15080,8191,,
15104,1720,,
15128,1887,,
15152,8191,,
15175,1816,,
15200,8191,,
15223,8191,,
15247,8191,,
15271,8191,,
15295,8191,,
15319,8191,,
15343,1314,,
15367,8191,,
15390,8191,,
15415,8191,,
15438,8191,,
15462,8191,,
15486,1110,,
15510,1337,,
15534,2041,,
15558,8191,,
15582,330,,
15605,8191,,
15630,716,,
15653,8191,,
15677,8191,,
15702,8191,,
15725,556,,
15749,8190,,
15773,2090,,
15797,8191,,
15820,1170,,
15845,892,,
15868,1691,,
15892,949,,
15917,8191,,
15940,8191,,
15964,8191,,
15988,8191,,
16012,8191,,
16035,532,,
16060,8191,,
16083,8191,,
16103,8190,,
16128,8191,,
16151,1386,,
16175,835,,
16199,8190,,
16223,8191,,
16246,8191,,
16270,8191,,
16293,8191,,
16318,1013,,
16342,8191,,
16365,8191,,
16389,934,,
16412,8191,,
16437,8191,,
16460,8191,,
16484,8191,,
16507,1700,,
16532,8191,,
16556,8191,,
16579,8191,,
16603,1444,,
16627,8191,,
16647,8190,,
16671,8191,,
16695,765,,
16718,1830,,
16743,8191,,
16766,8191,,
16789,8191,,
16809,8190,,
16834,8191,,
16854,8190,,
16878,8191,,
16902,8190,,
16925,8191,,
16950,8191,,
16973,8191,,
16997,1244,,
17021,1176,,
17045,1246,,
17069,1207,,
17093,1220,,
17117,1185,,
17140,1178,,
17165,1190,,
17188,1239,,
17212,1137,,
17236,1204,,
17260,1271,1,carro
17284,1734,,
17304,8190,,
17328,920,,
17352,2232,,
17376,8191,,
17399,8191,,
17423,8191,,
17447,1000,,
17471,8191,,
17495,253,,
17519,8191,,
17543,8191,,
17566,1641,,
17591,8190,,
17614,8191,,
17638,8191,,
17662,8190,,
17686,8191,,
17710,264,,
17734,1343,,
17758,1098,,
17781,1292,,
17806,1411,,
17829,1267,,
17853,1536,,
17878,8191,,
17901,8191,,
17925,8191,,
17949,1531,,
17973,8191,,
17996,1360,,
18020,8191,,
18043,8191,,
18067,1757,,
18092,8191,,
18115,8191,,
18139,8191,,
18163,1180,,
18187,8191,,
18210,8191,,
18235,8191,,
18258,1799,,
18282,8191,,
18307,8191,,
18330,8191,,
18354,8191,,
18377,1398,,
18402,8191,,
18425,8191,,
18449,1247,,
18472,8190,,
18496,8191,,
18516,8190,,
18540,1999,,
18565,8191,,
18588,1335,,
18612,1111,,
18636,1979,,
18659,8191,,
18683,1095,,
18707,8191,,
18731,8190,,
18755,1204,,
18779,8191,,
18802,8191,,
18827,8191,,
18850,8191,,
18874,8191,,
18898,8191,,
18922,1168,,
18946,8191,,
18970,8191,,
18994,1623,,
19017,1318,,
19042,8191,,
19065,8191,,
19089,8191,,
19113,8191,,
19137,8191,,
19161,8191,,
19184,1241,,
19208,8191,,
19232,8191,,
19256,2074,,
19279,8191,,
19304,1467,,
19328,8191,,
19351,8191,,
19376,8191,,
19399,8191,,
19423,8191,,
19447,1726,,
19470,8190,,
19494,1343,,
19518,910,,
19542,911,,
19566,8191,,
19590,8191,,
19613,8191,,
19638,1205,,
19661,8190,,
19685,8191,,
19709,717,,
19733,1695,,
19757,8191,,
19781,1687,,
19805,2014,,
19828,8190,,
19853,8191,,
19876,1243,,
19900,8191,,
19924,8191,,
19948,8191,,
19972,8191,,
19996,1620,,
20020,8191,,
20043,8191,,
20068,1749,,
20091,1821,,
20115,8191,,
20139,8191,,
20163,1754,,
20187,8191,,
20210,253,,
20234,1665,,
20258,372,,
20281,8191,,
20305,8191,,
20329,8190,,
20353,780,,
20377,1231,,
20401,1010,,
20424,2261,,
20449,8191,,
20472,8191,,
20496,956,,
20516,8190,,
20541,400,,
20564,8191,,
20588,8191,,
20613,1864,,
20636,8191,,
20660,8191,,
20684,8191,,
20708,8191,,
20731,8191,,
20756,8191,,
20780,1324,,
20803,1487,,
20828,1226,,
20850,8191,,
20875,521,,
20898,8191,,
20922,8191,,
20945,8191,,
20970,8191,,
20994,1542,,
21017,8190,,
21041,8191,,
21065,1711,,
21089,8191,,
21112,8191,,
21137,8191,,
21160,8191,,
21184,8191,,
21209,339,,
21232,8191,,
21256,1271,,
21280,8191,,
21303,8191,,
21327,8191,,
21348,8190,,
21371,1983,,
21395,1558,,
21420,2008,,
21443,8191,,
21467,1970,,
21490,8191,,
21514,1683,,
21538,8191,,
21562,8190,,
21585,8191,,
21610,8191,,
21634,8191,,
21657,1449,,
21681,8191,,
21705,418,,
21729,8191,,
21752,509,,
21777,8191,,
21800,8191,,
21824,1531,,
21849,1178,,
21872,8191,,
21896,1431,,
21920,8191,,
21944,8191,,
21967,8191,,
21992,8190,,
22016,1347,,
22039,8191,,
22064,1462,,
22087,8191,,
22111,1036,,
22135,8191,,
22159,1240,,
22182,398,,
22206,8191,,
22231,1385,,
22254,8191,,
22278,955,,
22301,8191,,
22325,1530,,
22349,8191,,
22373,8191,,
22396,2036,,
22420,8191,,
22445,8191,,
22468,8191,,
22492,8191,,
22516,8191,,
22540,8191,,
22563,8190,,
22587,8191,,
22611,8191,,
22635,718,,
22659,8191,,
22682,8190,,
22706,8191,,
22730,8191,,
22754,8191,,
22777,860,,
22802,8191,,
22825,8191,,
22849,8191,,
22873,8191,,
22897,1312,,
22921,887,,
22944,2065,,
22969,8191,,
22992,8191,,
23016,138,,
23041,8191,,
23064,8191,,
23088,8191,,
23111,8191,,
23136,8191,,
23159,457,,
23183,8191,,
23207,8191,,
23231,1560,,
23255,1605,,
23279,1522,,
23303,8191,,
23326,8191,,
23351,1787,,
23374,1078,,
23398,8191,,
23422,8190,,
23446,436,,
23470,1334,,
23494,8191,,
23518,892,,
23541,8191,,
23565,8191,,
23588,8191,,
23612,8191,,
23635,1292,,
23660,8191,,
23684,8191,,
23707,8191,,
23731,8190,,
23751,8190,,
23775,8191,,
